U-Shape,33,22,diamond,
U-Shape,12,22,diamond,
U-Shape,1B,22,diamond,
U-Shape,1B,22,diamond,
U-Shape,1B,20,diamond,
U-Shape,1B,20,diamond,
Microring,7,22,simplu,
Microring,8N,20,simplu,
Microring,4,20,simplu,
Microring,2/8N,20,simplu,
Microring,2/8N,20,simplu,
Microring,7,22,simplu,
Microring,6,22,simplu,
Microring,4,20,simplu,
Microring,4,22,simplu,
Microring,4,20,simplu,
Microring,1b,22,simplu,
Microring,2,22,simplu,
Microring,4,20,simplu,
Microring,6,24,diamond,
Microring,1B/7,22,deluxe,
Microring,3/8N,22,deluxe,
Microring,1B/7,22,deluxe,
Microring,6/60,20,deluxe,
Microring,5,24,deluxe,
Microring,12,24,diamond,
Microring,5,24,deluxe,
Microring,1,24,diamond,
Microring,7,24,diamond,
Microring,6,24,diamond,
Microring,2/8N,20,simplu,
Microring,6/60,20,deluxe,
Microring,2/8N,20,deluxe,deep,
Microring,3/8N,22,deluxe,
Microring,8N,22,deluxe,deep,
Microring,2/8N,20,deluxe,deep,
Microring,8N,22,deluxe,deep,
Microring,18,22,deluxe,deep,
Microring,6/18,20,deluxe,deep,
Microring,6/18,20,deluxe,deep,
Microring,1,22,deluxe,deep,
Coada,24,22,deluxe,
Coada,24,22,deluxe,
Coada,18,22,deluxe,
Coada,24,22,deluxe,
Coada,24,22,deluxe,
Coada,24,20,deluxe,
Coada,12,20,deluxe,
Coada,8,20,deluxe,
Coada,1,20,deluxe,
Coada,1,22,deluxe,
Coada,1,20,deluxe,
Coada,24,22,deluxe,
Coada,8,22,deluxe,
Coada,18,20,deluxe,
Coada,8,22,deluxe,
Coada,1,20,deluxe,
Coada,1,22,simplu,
Coada,1,22,simplu,
Coada,1,22,simplu,
Coada,24,22,simplu,
Coada,12,22,simplu,
Coada,24,22,simplu,
Coada,1,22,simplu,
Coada,1,22,simplu,
Coada,9,22,simplu,
Coada,1,22,simplu,
Coada,1,20,simplu,
Coada,1,20,simplu,
Coada,4,22,simplu,
Coada,4,22,simplu,
Coada,18,20,simplu,
Coada,18,20,simplu,
Coada,24,18,simplu,
Coada,8N,18,simplu,
